questions,answers
"I want to become a doctor because of my great interest in science and helping people, but can I major in something that is not science oriented?","Sure! Music Therapy .  Actually I am learning how to connect myself with PDST Clinics, So might be profitable. Sicology. If you are a good musician, you can master anything. Good luck! "
what kind of  college could i go  to for a soccer player, Hi Rodrigo!   The important thing to remember if you are going to pursue professional sports is what are you going to do when you career is over?  Too many people have short careers due to injuries and other reasons beyond their control so you have to be prepared with a backup career.  It is important to consider what you might do for a career: Here are things that might help: http://www.wikihow.com/Choose-the-Right-Career https://www.themuse.com/advice/the-most-useful-personality-quiz-youll-take-this-week https://www.careerkey.org/choose-a-career/how-to-choose-a-career.html#.V54W0fkrLtQ 
What are the college classes like for and graphics design major?," If you like doing creative work, graphic design would be appropriate and much higher chance of landing a job rather than a fine arts degree (unless you want to try your luck in animations). From my personal experience, I have always been creative since elementary but I brushed if off cause I lived in a country where artists are frown upon and jobs were scarce around that area.      Throughout my college years, I was a nursing major for one semester then a computer science for a year and half but I could not stop drawing or painting in between it all. By my junior year, I decided to pick up a part-time job at a printing company, where I would use my artistic skills as a graphic designer.      From there, I knew I wanted to come back to my creative skills cause I really enjoy it.      My advice, try out graphic design courses and painting. To see the differences and what kind of creative work you would want to do.  "
What are the college classes like for and graphics design major?,"Hi Torrey,  when I went to school at university we had to take some required classes first such as basic drawing and  basic graphic design, typography, then we had to apply to get into the specific program we wanted (graphic design, illustration, or print production). The teachers made the selection based on a portfolio of projects we had from the basic classes. Once I got into the 2 year design program I had more advanced classes on logo design, page layouts, typography, history of graphic design, product packaging design and professional design practices (how to manage the professional design process, how to deal with clients, copyright etc).  Hope this helps.   Best of luck, enjoy your creativity!"
what does it take to be an anesthesiologist?,"     Hi Deja,   Know we are recommending a lot of videos for you, but here is a nice one that follows anesthesia resident Dr. Jesse Hill on a typical day as he works on the Obstetric anesthesia rotation at the Stanford University School of Medicine:        http://www.youtube.com/watch?v=20YzbPVIzmE&amp;feature=related    "
what does it take to be an anesthesiologist?,"     4 years of college       4 years of med school       4-5 years of residency in anesthesiology       If you want to specialize even further, you can do a fellowship       Approximately 13 years of training after high school. It is one of the more competitive specialities. You should think about volunteering at a hospital and shadowing an Anesthesiologist. Contact your local hospital. "
What major is best for an aspiring Occupational Therapist?," Hey Megan. You are looking at a great field.  Typically you need a bachelors degree in Human Psychology, Biology, Human Physiology or any Health Science will offer you the best insight for going to the Occupation Therapy field. "
How does the gender gap effect productivity in the work force?," Gender differences in access to economic opportunities are frequently debated in relation to gender differences in labor market participation.   participation  focus on productivity and earnings—for two reasons. First, a focus exclusively on labor force participation provides only a partial picture of women’s and men’s experience in the labor market. Far from being a simple decision about whether or not to join the labor force, participation in market work involves reallocating time across a variety of activities—a process that can be difficult and costly, particularly for women. And a focus solely on participation masks gender differences in the nature and dynamics of work. Second, despite significant progress in female labor force participation over the past 25 years  pervasive and persistent gender differences remain in productivity and earnings across different sectors and jobs. Indeed, many women around the world appear to be caught in a productivity trap—one that imposes significant costs on women’s welfare and economic empowerment today and serious disincentives to invest in the women of tomorrow. Despite lower earnings and productivity, women are not worse farmers, entrepreneurs, and workers than men. We argue instead that gender differences in labor productivity and earnings are primarily the result of differences in the economic activities of men and women— although gender differences in human capital and in the returns to worker and job characteristics also play a role. "
"As a civil engineer, what percent of your time would you say per week you spend on site helping to organize construction efforts and people and what percent of your time do you spend in an office making calculation and coming up with designs?"," It all depends on what type of job you have. In my days as a new Civil Engineer, I also spent my full days either drafting or making calculations. During my structural design days, I spent all hours of the day in the office making calculations. Never saw a project.  When I hit Public Work things changed. I did visit project sites, did project administration, did calculations and other administrative work. The amount of time spent on the various items was completely dependent on the project and what was happening. You can go days without getting out of the office and then you can spent an inordinate amount of time in the field. It is extremely variable. I loved it! "
"As a civil engineer, what percent of your time would you say per week you spend on site helping to organize construction efforts and people and what percent of your time do you spend in an office making calculation and coming up with designs?","Sort of on top of what Myron said, the ""correct"" answer is it varies.  Being a civil engineer is a vary wide ranging and encompassing profession, from designing bridges to working with construction contractors in the field to managing projects & funds in the office.  It really is up to you where you want to take it, and while it can be somewhat difficult to find a position that you can do all three, they are definitely out there.  My advice would be to try and get internships in college or even just a day or two shadowing in high school or later in three different places: a private consulting firm (i.e. AECOM, or a local equivalent), a construction contractor (like Kiewit), and a state or local government office (like a Dept of Transportation).  While there are many varying roles within these sorts of organizations, the attitude of who you work for will shape you more than what you are doing."
what is the hardest about becoming a lawyer?,"The lawyer response is, ""it depends!"" Each person is different.  I thought the prep was okay, but I struggled with the legal writing and research.  My roommate really struggled with the testing, but aced the writing part.  All of us struggle with employment at times in our life.  It is going to depend on your own individual circumstances.  The entire process is designed to be difficult, but doable, if you are capable.  Your best bet is to develop good study habits now, practice for the tests, draft your entry essay early, and once you are in, ask for help early and often, develop a network of peers to assist as you study, and be ready to work hard and read a lot!"
what is the hardest about becoming a lawyer?,The hardest parts of becoming a lawyer are graduating from law school near the top of your class and passing the bar examination on your first attempt.
"How to have a board that can attract $500,000 capital for a non-profit start up"," Hi Cynthia -     First of all congratulations on having a well-thought out plan for your non-profit.  You have shown a lot of initiative that this will help you go far.  Board development is one of the most important things for a new organization to focus on.  Members of your board help you establish credibility and ideally open their networks to you, both to raise visibility and of course, funds.     While community financial institutions are not my area of expertise, I will give you some tips that should be helpful in general.  As your main need is for this board to be a funding/fundraising board for a community financial institution, that arena is where you need to look for individuals to invite onto your board.  First, look at your own networks:    Are any of your friends, community members, relatives, friends' relatives in finance?  Can you approach them with your idea, see what they think and then invite them to join your board?    Look at similar institutions - community financial institutions (CFIs).  Are there individuals on their boards that you can invite onto yours?  Once you have a core group of individuals on your board (not all need to have finance backgrounds - some can have HR experience or be from the community you are trying to help), then you need to put a fundraising plan in place.  It would be helpful to have at least one board member who has fundraising experience.  The fundraising plan should have concrete steps as to how the organization is going to reach its initial goal ($500,000), what is the timeline, what are the steps, etc.  Once you have your plan, then each member of the board should be encouraged to contribute and to help with fundraising in any way they can.  Your plan should have options for commitment - dollar amount, amount each board member will help raise, what networks they can introduce you to, to help fundraise, etc.   Board development should be customized for each organization as it is important to get a good mix of people on the board, and who hopefully have good chemistry working together.  Your board chair should be the person you work closely with to help you keep other board members focused on their commitments.     Being at Harvard should help you access alumni networks, ask your professors for ideas on who should be on your board (perhaps one of them would agree to serve).  Having a couple of big names helps attract others.     Hope this is helpful - wish you the very best!       "
"How to have a board that can attract $500,000 capital for a non-profit start up"," Hi Cynthia,  Shalini has given you some excellent advice. My only other thought is to look into potential organizations that can help support your business plan. In CA (specifically Cal Poly)  there are organizations such as the Small Business Development Center (SBDC), Center for Innovation and Entrepreneurship, and HotHouse. All within the college environment and all with the mission of supporting student businesses while you are in school. They provide several areas of support, including board development. Perhaps Harvard has something like it or a connection to something similar. Here is a link to SBDC that will lead you to the other two. Best wishes on your endeavor.  http://sbdc.calpoly.edu "
To be a dental hygienist or a dentist?," Cierra, Both professions are great but do not think of it as ""making the money"". Do what you enjoy the monetary rewards will come. I have been practicing for 27 years as a RDH. I did make an effort to apply to dental school after 6 years as a hygienist but did not get admitted. I am very happy now that I did not. As Dr. Barnett mentioned, as a hygienist, the schedule is very flexible if you want to have a family. Little did I know I would still be practicing but I have recently started teaching as a part-time adjunct clinical instructor.  Every dental hygiene program has different requirements for their program so make sure you look at each one. Most programs are a 4 year but their are some 2 year associate programs. Then, if you want to do a  completion of BS in dental hygiene you may. Other students have done a BS in science base degree then had options to apply to dental hygiene or DDS program. Whatever you decide, do not let the monetary part drive you, let the profession drive you to be and do your best. The best to you! "
To be a dental hygienist or a dentist?," Hi Cierra,   Working in the Oral Health care field is about being passionate with it and wanting to take care of people is Oral Health independently of the money you could make. Choosing a profession is about what you love to do . You will do well if people see in you a professional that is truly focused on their needs. Patient is first.   Dentistry is a 4 year career (minimum - you never stop studying ) , but you have to have at least 2 years in College in a pre-dental program ( Sciences) before. Find more information here: http://www.ada.org/en/education-careers/careers-in-dentistry/be-a-dentist/high-school-student   Good Luck! "
To be a dental hygienist or a dentist?," Dental school would cost a lot more, but you make a lot more over your career. My mom was a hygienist, and I am a dentist. Always jobs in both.  Hygienist is a good career for you if you want to have kids and work part time. You have plenty of time to decide "
Is it better to sell your invention idea(s) to a company or raise money to patent it yourself?," lakeya,     You have an excellent question.   As with most excellent questions, the answer is - it depends.  What does it depend on?  A couple things:     1)  Could your invention be a business?  - Not all inventions can.  Some inventions might solve a problem in a way that is superior to any other, but if it can not be scaled (e.g. can not be manufactured in a way that brings cost below price by a sustainable margin, is not sufficiently differentiated from competition to attract customers, market of potential customers is not large enough to justify start-up costs, etc.) then there is no business.  Keep in mind though - just because one person may not be able to turn an invention into a business does not mean it does not have value.   An invention could be patented and then sold (or licensed) to a company with complementary characteristics from which value could be derived from synergies between the invention and their existing product (e.g. the company already has an established presence in the target market of the invention, the company manufactures their existing product in a similar way such that existing infrastructure could be utilized).      2) Do you want to be an entrepreneur?   - If your invention could be a business that you could start yourself, the next question to ask is whether you want to be an entrepreneur.   Successful entrepreneurs often work long hours for long periods of time trying to get their businesses off the ground, and even then success is scarce.  Read about successful entrepreneurs (and unsuccessful entrepreneurs) to learn more about the sheer size of the risks and rewards involved, and whether such a lifestyle works for you (one insightful resource from an experienced entrepreneur - http://www.paulgraham.com/articles.html)     After careful reflection, if you are leaning toward 'yes' to both questions, then starting down the path of launching a business is next.  If not, then selling (or licensing) your inventions to another individual or company with the means to bring it to market might be the best path.  Whether you decide to start your own business or sell / license your invention as is, you will likely want to apply for a patent.   Patenting a product is not cheap (https://www.legalzoom.com/articles/how-much-does-a-patent-cost), but it is likely much cheaper than costs needed to launch a business.  Here is a good article I stumbled across that may be helpful on the topic of applying for patents (https://www.entrepreneur.com/article/204918).     I am far from an expert on this topic, but hopefully these thoughts help you find a path to more relevant resources.  Best of luck to you! "
Is it better to sell your invention idea(s) to a company or raise money to patent it yourself?," A patent&nbsp; is a government authority or license conferring a right or title for a set period, especially the sole right to exclude others from making, using, or selling an invention.(got this from BING)&nbsp;So you only get paid if you own the idea or license. So you would need to find a patent attorney to patent your idea so that you have the right to sell it.&nbsp; So you can not sell it to a company until you have the patent which gives you ownership of the idea. IF&nbsp; you go to a company and share the idea with them they have no obligation to pay you for it unless you own the patent for that idea. "
Is it better to sell your invention idea(s) to a company or raise money to patent it yourself?," So some people see the universe as it is. Some look and see the holes. I have always been one to see the holes, the things that dont exist and COULD exist. The problem is, does the rest of the universe care?  I have spent my whole life seeing the holes and I have tried filling many of them. Most of the time the universe did not care but on a few, I have had great success. The key to seeing a hole in the universe and filling it with your idea is the brand, the marketing and a lot of dumb luck. So if you are starting out, try to get someone to take your idea and run with it. You will likely come across some greedy bastards who will steal it, but if the well is deep enough you will come up with more. The odds of you knowing enough now to make it successful are pretty low. You will need 20 years of dealing with greedy bastards to know how to do it all on your own.  "
Who/what do you think truly decides where you go to college?,"I do not have a specific answer. I have some questions though....  1. In an ideal world, most students should answer ""What is YOUR reason for attending a specific college""? Mine was cost at first. I attended a local community college. I thought I was just there because I was saving money, but I learned very quickly that some of the most incredible professors teach at community colleges!!  2. ""Is your school choice to please yourself""? Ultimately, I became extremely happy with my college choices. As an undergrad, I had the most AMAZING professors who taught at community colleges, because that is what they loved doing! My abilities and dreams grew leaps and bounds, and I did not spend a lot of money that I did not have.   3. ""Are you attending because you have found your calling""?  In my opinion, this question is more important the higher up the academic world you climb. As an undergraduate for my first A.A., I went to a community college that I could afford while working in the writing lab. Undergraduate education is somewhat uniform in terms of the type of general education classes required. For me, I looked more at what was important to me in a school for my BA I wanted to teach, so I selected a college that specialized in teaching. I stayed at the same women is college for grad school, because I loved the professors who already knew me and the work I was doing. They challenged the heck out me in grad school! Probably, because by grad school, they knew my weaknesses and my strengths. I returned to community college for a second AA  degree because the college and the students, staff, faculty, and admin were all soooo amazing.   4. I have noticed some students attend schools because their parents did.  In my opinion, the question here is: ""Are you pursuing the work you really want to do""? None of my parents had degrees, so I selected a women is college for my advanced education, because I was influenced by a professor who knew I wanted to teach. The single BEST decision I ever made! I was influenced by an educator that knew me, and she more or less dropped me off there and told me to ""start finding out about the opportunities there"". I had no idea that it would be the most challenging and rewarding experience of my life. "
Who/what do you think truly decides where you go to college?," There are a number of factors that go into such a big decision, and I am sure these factors and how much they weigh in the decision vary from person to person and depending on each situation. I would think that financial reasons would and should be very high on the list of factors, because depending on how much education you need for your career, the debt can grow very quickly. Although input from counselors, family and friends matters, they are not the ones who will be putting in the hard work or paying off that debt years later, so in my opinion, those are secondary. A lot of people have a favorite school for different reasons, such as sports, proximity to a certain city, or they have a good program in a particular field, or their parents or other family members are alumni and had a great experience. I would think about your career goals and research the best schools in that field, and in the meantime, apply for financial aid/scholarships/grants. If your career goals include graduate school, then cost for undergraduate education are all the more important in your decision. Once you have narrowed down your choices, you should absolutely visit the school to get a feel for the place and the students and faculty - if you feel comfortable and 'at home' then you will know it right away! And of course if you know people who have gone to that school recently, then ask a lot of questions about their experience, and what they like/do not like about it. All of these factors will help you to make the right decision. Best of luck to you! "
Who/what do you think truly decides where you go to college?," There are a lot of factors that go into the choice of college.  Family finances and geography are big ones - it is much cheaper to live at home and go to a local school.  Financial aid packages vary widely, sometimes making it cheaper to go to a private school than a state school.  Another element is how parent is feel about a students course of study - should the child follow their passion and study art or music, or should they pursue something more practical?  This can be tricky, with plenty of emotion on all sides.  Economic figure in, too.  Some people can afford to retrain if their dream career does not work out, other do not want to take a chance on it.  I have just gone through this with my daughter, now a college freshman.  It was tough, but I think we struck a good compromise. "
Who/what do you think truly decides where you go to college?, There are definitely several factors that influence a decision on where you go to college. Here are a few things that I remember thinking about. Best of luck! 
How can I get my work in Android development noticed by prospective users?," You can add it to your signature when you send out an email.  Do not make it too pushy, but at the end of your signature you can make a reference to it.       The same can be said of Social Media, when you post something just add it to the end of your post so that people can see it and then they may become more interested in looking at it on the playstore. "
How can I get my work in Android development noticed by prospective users?," You have to get the buzz going about it, so that people who are using it are referring it to their friends. Add functionality to your app that supports that (e.g. allow a user to share a good experience they had with your app to social media).     Also check if users who use your app are returning after they used this once. Collect feedback from users to understand what they liked and did not like and how you can change the experience for them to come back and recommend your app to others. "
Which topics in college most helped with your career in Industrial Psychology?," Hi Lans,   Students who choose to major in industrial psychology will study psychology as it applies to organizational behavior or employees, workplace environment and its effects, employee and employers attitudes, motivational factors of groups, and much more. As an industrial psychology major you will study topics including human development, personality, behavioral psychology, biopsychology, perception, and cognition. Many industrial psychology programs also include relevant courses in business management, since as an industrial psychologist you will be involved with management at various levels throughout your career.   As an undergraduate industrial psychology student, you will become very proficient with research methodologies, experimentation, documentation, advanced statistical modeling, as well as various methods for analyzing data. In addition, you will learn about the history of psychology, the present, and how you might mold the future of industrial psychology.   To become a practicing industrial psychologist, you will need to earn a bachelor is degree in psychology from an accredited psychology program. Following completion of your undergraduate degree, you will also need to complete a master is or Ph.D. degree in psychology (although most employers prefer a Ph.D.)    Job Duties and Tasks for: ""Industrial-Organizational Psychologist""   1) Analyze data, using statistical methods and applications, in order to evaluate the outcomes and effectiveness of workplace programs.   2) Analyze job requirements and content in order to establish criteria for classification, selection, training, and other related personnel functions.   3) Conduct research studies of physical work environments, organizational structures, communication systems, group interactions, morale, and motivation in order to assess organizational functioning.   4) Develop and implement employee selection and placement programs.   5) Develop interview techniques, rating scales, and psychological tests used to assess skills, abilities, and interests for the purpose of employee selection, placement, and promotion.   6) Facilitate organizational development and change.   7) Formulate and implement training programs, applying principles of learning and individual differences.   8) Identify training and development needs.   9) Observe and interview workers in order to obtain information about the physical, mental, and educational requirements of jobs as well as information about aspects such as job satisfaction.   10) Study organizational effectiveness, productivity, and efficiency, including the nature of workplace supervision and leadership.   11) Advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.   12) Assess employee performance.   13) Counsel workers about job and career-related issues.   14) Participate in mediation and dispute resolution.   15) Study consumers' reactions to new products and package designs, and to advertising efforts, using surveys and tests.   16) Write reports on research findings and implications in order to contribute to general knowledge and to suggest potential changes in organizational functioning.   More in:   http://www.psychologycareercenter.org/industrial-psychology-degrees.html http://job-descriptions.careerplanner.com/industrial-organizational-psychologists.cfm   Have a professional journey of success! "
Which topics in college most helped with your career in Industrial Psychology?," When I was an undergraduate student, there were NO courses in I-O psychology at my school; there are now, though.   So, the courses that I found the most useful as an undergraduate were: Statistics Research Design Tests and Measurement Social Psychology   So, if you think you are interested in I-O Psychology, find a school that has at least one course  offered in this sub-discipline.  I would also recommend going to a school with at least one professors who does research in the field so that you can gain some experience by doing an independent study with her/him!   Good luck!   Should you have any additional questions, do not hesitate to contact me. "
How easy/hard is it to find a job in architecture?,"To get a good job one needs to be trained or prepared.  With good training and a good work effort, I believe everyone can secure a good paying job. So the first thing I would do is narrow down your field of interest to get the appropriate training. Business and marketing require very different training than architecture and engineering.  Both fields will have pros and cons. Do you like building projects, working on business plans, travel, working outside etc.?  Look on the internet, under each of the areas and get a feel for the jobs.  Most jobs will require math but engineering and business have very different math course requirements.  Once you figure out which general direction you are interested in, make sure you work on the requirements and find a in-state college/university’s that has that program if possible.  You don’t want to be saddled with a huge college debt.  Good luck. "
How easy/hard is it to find a job in architecture?," Well getting a job is fairly easy in a big city, however, large firms know that they can pay way less cause everyone wants to work there for the experience. So, you could spend 5 years getting an Arch degree only to get out of school making 36k to 40k to start, which is not bad, but you will be living in the hood or you will have to deal with room mates living in a nicer area. I switched over to engineering drafting and ended up capping out at 50k, if I wanted to keep going in that field I could have ended up making 70k.  Lots of jobs, just will not make you rich unless you go at it alone, but then you need to be cert in your state &amp; have the stamp. "
"If medicine improves and allows people to live much longer lives, how will we provide for everyone?"," Hi Sophie,       Really interesting question you have posed. Based off of your comment above, you seem to be concerned about the environmental impact of a growing population where people live longer and longer lives. So there is a term for the population that the earth can environmentally support, and that is called the ""carrying capacity"". Thomas Malthus put out a theory in the 19th Century that there is a finite population that the earth can support and and anything leading that could lead to mass famine, disease, and starvation. Thankfully Malthus' prediction has yet to come true but it is a real worry. The resources on earth are finite, that is true, but human ingenuity is pretty incredible.      We human have so far been able to invent ourselves out of ecological issues before ( think about the advent of nitrogen based fertilizers and the Green Revolution).  While the problems and issues that we face ecologically and environmentally are great, I choose to believe that our intellect, creativity, and ingenuity will save us...it has in the past at least.  Also, what is limiting us to staying on Earth?  We humans are explorers, perhaps one day interstellar space travel will actually be a reality and we will be able to inhabit other worlds, the possibilities are endless.      Keep thinking creatively and push yourself to think outside the box, our future depends on it.     Best,  Austin  "
"If medicine improves and allows people to live much longer lives, how will we provide for everyone?"," Hi Sophia such a wonderful question. To give you an example of how life expands to accommodate everyone we have homes, apartments, cars, jobs, careers, colleges, food that seem endless. We grow as the community grows. We also have programs for the elderly (some states have meals on wheels which is lovely). Life expands for us and accommodates our needs. We have senior living residents, Perpetual Home Care In-Home companion and Personal Senior Care, etc). The good news is that we need not fear our increased life expectancy as we are increasingly able to maintain our bodies in a fit and healthy state and more and more of the illnesses associated with old age come under our control. Living until the age of 90 in 50 years time, will be a very different experience to someone living to that age 50 years ago. In February this year, a US scientist estimated that retirement age could reach 85 by 2050. Shripad Tuljapurkar of Stanford University claimed that anti-ageing advances could raise life expectancy by a year each year over the next two decades. As we get older healthier, then there is no reason why we should not continue our active, productive lifestyles for longer. This would have substantial benefits; we could extend a mortgage over a longer period, we would have longer to invest in a pension, and simply have more time to achieve the goals we have set for ourselves.  (Excerpt) Viewed globally, the lengthening of life spans seems independent of any single, specific event. It didn’t accelerate much as antibiotics and vaccines became common. Nor did it retreat much during wars or disease outbreaks. A graph of global life expectancy over time looks like an escalator rising smoothly. The trend holds, in most years, in individual nations rich and poor; the whole world is riding the escalator.  Here is a link to assist further with your wonderful question...https://www.theatlantic.com/magazine/archive/2014/10/what-happens-when-we-all-live-to-100/379338/https://www.theguardian.com/zurichfuturology/story/0,,1952688,00.html. God Bless! "
Why are there not more females that help or support other females in college?," Hi Vanessa, thanks for submitting a question! In college, I was a part of an organization called OHIO Women in Business. Our mission was to attract women to the college of business, develop them through various workshops and speakers, and successfully launch them into the workforce upon graduation. Does your college have a women is organization for your major? If not, have you considered starting your own? Start talking to an adviser or mentor about this! I was friend is with the woman who started the organization at my school and all it takes is an idea and passion to help you implement it!     If you are apart of a woman is organization and feel you are not doing enough, look into Zonta Club. It is an international organization whose mission is to empower women through service and advocacy. I am a member and love getting involved in the volunteering and fundraising events. Here is the international website:  https://foundation.zonta.org/     My last piece of advice would be to read ""Lean In."" This will spark or increase your energy to really understand the gender gaps that still exist in today is society.  Here is a link to the book is website: https://leanin.org/book     Wish you all the best and hope this helps!    "
Why are there not more females that help or support other females in college?," Hi there Vanessa. This is a loaded question! Sometimes I think that it is a competition thing that prevents some from extending a hand. I did not really experience that when I was in college thankfully, but I also set up meetings for groups of women to study/meet. I believe that we have to be the change that we want to see. I made sure to smile and say hello to everyone that I met in order to make friends. Do not get me wrong, there were some women that did not say hi back or did not seem too friendly, but the good outweighed the bad by a long shot!   I would also recommend looking online for groups in your area or finding clubs that you can join. Once you find a group of women that are about empowerment and support, you will be in good shape! I hope this helps! "
Why are there not more females that help or support other females in college?," Hi Vanessa, Unfortunately some women can be very competitive with each other.  However, I have found that women can also be very supportive of each other.  Try to join some groups in school that are catered towards women.  Come with an noncompetitive, supportive spirit to the other women in your school and find other women to join you.  Together you can a strong supportive group to grow together in. "
